"id","name","morning56","morning57","afternoon56","afternoon57","evening56","evening57","commissioner56","commissioner57","employed56","employed57","casualworker56","casualworker57","lecturer56","lecturer57"
"0001","ดินแดง 1","964","0","455","0","801","0","12","0","0","0","1","0","9","0"
"0002","บางรัก","413","0","440","0","654","0","7","0","3","0","0","0","13","0"
"0003","ดินแดง 2","1488","0","1101","0","575","0","12","0","4","0","1","0","6","0"
"0004","บ่อนไก่","827","0","1003","0","1442","0","12","0","2","0","0","0","18","0"
"0005","อาทร สังขะวัฒนะ","1594","0","1232","0","1571","0","15","0","3","0","1","0","14","0"
"0006","หลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ","1166","0","902","0","434","0","14","0","4","0","0","0","3","0"
"0007","คลองเตย","296","0","272","0","294","0","10","0","6","0","0","0","5","0"
"0008","ม้วน บำรุงศิลป์","1006","0","909","0","683","0","7","0","1","0","0","0","7","0"
"0009","หนองจอก","1258","0","739","0","484","0","8","0","4","0","1","0","8","0"
"0010","กาญจนสิงหาสน์อุปถัมภ์","1524","0","629","0","494","0","8","0","1","0","0","0","16","0"
